count,mean,std,min,25%,50%,75%,max
744.0,112.54244804030421,93.20920955527122,6.0,40.0,95.5,159.25,522.0
672.0,147.01355772202265,124.76293057458699,5.0,48.0,106.0,228.0,586.0
744.0,132.4758064516129,93.973948771992,5.0,43.0,128.0,206.0,402.0
720.0,140.99407920320365,86.72933720968126,5.0,80.0,130.0,183.0,552.0
744.0,109.88541411992816,75.54469632958565,5.0,52.0,97.0,145.5,539.0
720.0,75.32660997798122,54.66084989506336,5.0,32.0,61.0,106.0,328.0
744.0,113.30261842100344,71.58975783070298,3.0,51.0,107.0,164.25,348.0
744.0,83.28796788336903,58.07743090366069,5.0,33.75,75.0,123.0,316.0
720.0,83.74020570170356,51.60678498967341,5.0,41.75,85.0,117.25,314.0
744.0,127.64035236268796,98.10468833616663,3.0,43.0,112.5,193.0,406.0
720.0,120.38549886687012,111.1190415287392,5.0,34.0,84.0,180.25,762.0
744.0,85.7748354199455,90.51591435588985,5.0,23.0,54.0,118.25,903.0
