count,mean,std,min,25%,50%,75%,max
744.0,93.40912745435121,86.60494659772748,3.0,25.0,70.0,137.25,482.0
672.0,151.48769533347,126.88990145645853,3.0,51.0,122.0,232.25,592.0
744.0,97.76075268817205,83.18222884201792,3.0,20.0,76.0,158.25,350.0
720.0,87.75689778890482,56.38648202420786,3.0,47.0,77.0,116.25,399.0
744.0,64.80111937637494,51.08726698976216,3.0,28.0,51.0,88.0,360.0
720.0,56.22281169170253,45.09365858180107,3.0,22.0,44.5,79.0,315.0
744.0,95.31796560216597,73.14734886216382,3.0,26.0,84.5,147.25,336.0
744.0,62.562589258079946,45.84062571356321,3.0,24.0,53.0,94.0,210.0
720.0,69.61436799475533,41.64102480902758,3.0,38.0,75.0,88.0,239.0
744.0,107.3829742150846,91.29116873081823,3.0,35.0,79.0,169.0,368.0
720.0,81.56616835280568,84.29669086515996,3.0,16.0,47.5,126.0,366.0
744.0,50.89704092482375,61.917515426289164,3.0,8.0,22.0,79.1229005007174,327.0
